"V1";"V2";"V3";"V4";"V5";"V6"
0319001000000005001;2012-01-01;19:45:00  ;80;   2.52;   0.00;   2.40
0319001000000005001;2012-01-01;20:00:00  ;81;   2.64;   0.00;   2.52
0319001000000005001;2012-01-01;20:15:00  ;82;   2.40;   0.00;   2.28
0319001000000005001;2012-01-01;20:30:00  ;83;   2.76;   0.00;   2.52
0319001000000005001;2012-01-01;20:45:00  ;84;   2.04;   0.00;   1.92
0319001000000005001;2012-01-01;21:00:00  ;85;   2.40;   0.00;   2.28
0319001000000005001;2012-01-01;21:15:00  ;86;   3.12;   0.00;   3.12
0319001000000005001;2012-01-01;21:30:00  ;87;   3.12;   0.00;   3.36
0319001000000005001;2012-01-01;21:45:00  ;88;   3.00;   0.00;   2.88
0319001000000005001;2012-01-01;22:00:00  ;89;   2.04;   0.00;   2.04
0319001000000005001;2012-01-01;22:15:00  ;90;   2.16;   0.00;   2.04
0319001000000005001;2012-01-01;22:30:00  ;91;   2.88;   0.00;   2.64
0319001000000005001;2012-01-01;22:45:00  ;92;   2.64;   0.00;   2.40
0319001000000005001;2012-01-01;23:00:00  ;93;   2.40;   0.00;   2.28
0319001000000005001;2012-01-01;23:15:00  ;94;   1.68;   0.00;   1.44
0319001000000005001;2012-01-01;23:30:00  ;95;   1.68;   0.00;   1.44
0319001000000005001;2012-01-01;23:45:00  ;96;   1.56;   0.00;   1.20
0319001000000005001;2012-01-02;00:00:00  ;97;   1.32;   0.00;   1.32
0319001000000005001;2012-01-02;00:15:00  ;98;   1.68;   0.00;   1.32
0319001000000005001;2012-01-02;00:30:00  ;99;   1.68;   0.00;   1.20
0319001000000005001;2012-01-02;00:45:00  ;100;   1.56;   0.00;   1.20
0319001000000005001;2012-01-02;01:00:00  ;101;   1.20;   0.00;   0.96
0319001000000005001;2012-01-02;01:15:00  ;102;   1.32;   0.00;   1.08
0319001000000005001;2012-01-02;01:30:00  ;103;   1.32;   0.00;   1.20
0319001000000005001;2012-01-02;01:45:00  ;104;  36.18;   0.00;  36.30
0319001000000005001;2012-01-02;02:00:00  ;105;  36.72;   0.00;  37.08
0319001000000005001;2012-01-02;02:15:00  ;106;  37.74;   0.00;  37.38
0319001000000005001;2012-01-02;02:30:00  ;107;  38.58;   0.00;  38.82
0319001000000005001;2012-01-02;02:45:00  ;108;   1.44;   0.00;   1.08
0319001000000005001;2012-01-02;03:00:00  ;109;   1.20;   0.00;   0.96
0319001000000005001;2012-01-02;03:15:00  ;110;   1.44;   0.00;   0.96
0319001000000005001;2012-01-02;03:30:00  ;111;   1.20;   0.00;   1.08
0319001000000005001;2012-01-02;03:45:00  ;112;   1.32;   0.00;   1.20
0319001000000005001;2012-01-02;04:00:00  ;113;   1.20;   0.00;   1.08
0319001000000005001;2012-01-02;04:15:00  ;114;   1.20;   0.00;   1.08
0319001000000005001;2012-01-02;04:30:00  ;115;   1.20;   0.00;   1.08
0319001000000005001;2012-01-02;04:45:00  ;116;   1.08;   0.00;   0.96
0319001000000005001;2012-01-02;05:00:00  ;117;   1.20;   0.00;   1.08
0319001000000005001;2012-01-02;05:15:00  ;118;   1.44;   0.00;   1.08
0319001000000005001;2012-01-02;05:30:00  ;119;   1.32;   0.00;   1.08
0319001000000005001;2012-01-02;05:45:00  ;120;   1.56;   0.00;   0.96
0319001000000005001;2012-01-02;06:00:00  ;121;   1.20;   0.00;   0.96
0319001000000005001;2012-01-02;06:15:00  ;122;   1.92;   0.00;   1.68
0319001000000005001;2012-01-02;06:30:00  ;123;   2.40;   0.00;   1.80
0319001000000005001;2012-01-02;06:45:00  ;124;   2.28;   0.00;   1.80
0319001000000005001;2012-01-02;07:00:00  ;125;   2.04;   0.00;   1.68
0319001000000005001;2012-01-02;07:15:00  ;126;   1.68;   0.00;   1.32
0319001000000005001;2012-01-02;07:30:00  ;127;   2.28;   0.00;   1.32
0319001000000005001;2012-01-02;07:45:00  ;128;   4.92;   0.00;   4.20
0319001000000005001;2012-01-02;08:00:00  ;129;   5.04;   0.00;   4.44
0319001000000005001;2012-01-02;08:15:00  ;130;   2.16;   0.00;   1.68
0319001000000005001;2012-01-02;08:30:00  ;131;   1.80;   0.00;   1.68
0319001000000005001;2012-01-02;08:45:00  ;132;   1.80;   0.00;   1.56
0319001000000005001;2012-01-02;09:00:00  ;133;   1.68;   0.00;   1.44
0319001000000005001;2012-01-02;09:15:00  ;134;   1.68;   0.00;   1.44
0319001000000005001;2012-01-02;09:30:00  ;135;   1.68;   0.00;   1.56
0319001000000005001;2012-01-02;09:45:00  ;136;   1.56;   0.00;   1.44
0319001000000005001;2012-01-02;10:00:00  ;137;   2.52;   0.00;   2.04
0319001000000005001;2012-01-02;10:15:00  ;138;   1.68;   0.00;   1.56
0319001000000005001;2012-01-02;10:30:00  ;139;   1.80;   0.00;   1.56
0319001000000005001;2012-01-02;10:45:00  ;140;   1.80;   0.00;   1.44
0319001000000005001;2012-01-02;11:00:00  ;141;   1.68;   0.00;   1.44
0319001000000005001;2012-01-02;11:15:00  ;142;   1.44;   0.00;   1.32
0319001000000005001;2012-01-02;11:30:00  ;143;   1.44;   0.00;   1.44
0319001000000005001;2012-01-02;11:45:00  ;144;   2.40;   0.00;   2.28
0319001000000005001;2012-01-02;12:00:00  ;145;   2.04;   0.00;   1.92
0319001000000005001;2012-01-02;12:15:00  ;146;   1.80;   0.00;   1.92
0319001000000005001;2012-01-02;12:30:00  ;147;   2.04;   0.00;   2.04
0319001000000005001;2012-01-02;12:45:00  ;148;   1.92;   0.00;   1.80
0319001000000005001;2012-01-02;13:00:00  ;149;   2.28;   0.00;   2.04
0319001000000005001;2012-01-02;13:15:00  ;150;   2.04;   0.00;   1.92
0319001000000005001;2012-01-02;13:30:00  ;151;   1.80;   0.00;   1.80
0319001000000005001;2012-01-02;13:45:00  ;152;   2.16;   0.00;   2.04
0319001000000005001;2012-01-02;14:00:00  ;153;   2.16;   0.00;   1.92
0319001000000005001;2012-01-02;14:15:00  ;154;   1.44;   0.00;   1.20
0319001000000005001;2012-01-02;14:30:00  ;155;   1.20;   0.00;   1.20
0319001000000005001;2012-01-02;14:45:00  ;156;   1.32;   0.00;   1.32
0319001000000005001;2012-01-02;15:00:00  ;157;   1.44;   0.00;   1.32
0319001000000005001;2012-01-02;15:15:00  ;158;   1.80;   0.00;   1.32
0319001000000005001;2012-01-02;15:30:00  ;159;   1.80;   0.00;   1.44
0319001000000005001;2012-01-02;15:45:00  ;160;   1.68;   0.00;   1.44
0319001000000005001;2012-01-02;16:00:00  ;161;   1.68;   0.00;   1.44
0319001000000005001;2012-01-02;16:15:00  ;162;   1.68;   0.00;   1.20
0319001000000005001;2012-01-02;16:30:00  ;163;   1.68;   0.00;   1.32
0319001000000005001;2012-01-02;16:45:00  ;164;   1.80;   0.00;   1.68
0319001000000005001;2012-01-02;17:00:00  ;165;   1.56;   0.00;   1.32
0319001000000005001;2012-01-02;17:15:00  ;166;   1.68;   0.00;   1.32
0319001000000005001;2012-01-02;17:30:00  ;167;   1.56;   0.00;   1.44
0319001000000005001;2012-01-02;17:45:00  ;168;   2.04;   0.00;   1.92
0319001000000005001;2012-01-02;18:00:00  ;169;   1.80;   0.00;   1.92
0319001000000005001;2012-01-02;18:15:00  ;170;   2.04;   0.00;   2.04
0319001000000005001;2012-01-02;18:30:00  ;171;   2.52;   0.00;   2.52
0319001000000005001;2012-01-02;18:45:00  ;172;   2.28;   0.00;   2.28
0319001000000005001;2012-01-02;19:00:00  ;173;   2.40;   0.00;   2.40
0319001000000005001;2012-01-02;19:15:00  ;174;   2.64;   0.00;   2.64
0319001000000005001;2012-01-02;19:30:00  ;175;   2.52;   0.00;   2.28
0319001000000005001;2012-01-02;19:45:00  ;176;   2.16;   0.00;   1.92
0319001000000005001;2012-01-02;20:00:00  ;177;   2.64;   0.00;   2.64
0319001000000005001;2012-01-02;20:15:00  ;178;   3.12;   0.00;   2.76
0319001000000005001;2012-01-02;20:30:00  ;179;   2.04;   0.00;   1.68
0319001000000005001;2012-01-02;20:45:00  ;180;   2.52;   0.00;   2.40
0319001000000005001;2012-01-02;21:00:00  ;181;   2.40;   0.00;   2.28
0319001000000005001;2012-01-02;21:15:00  ;182;   2.28;   0.00;   2.40
0319001000000005001;2012-01-02;21:30:00  ;183;   2.04;   0.00;   1.92
0319001000000005001;2012-01-02;21:45:00  ;184;   2.76;   0.00;   2.40
0319001000000005001;2012-01-02;22:00:00  ;185;   2.40;   0.00;   2.16
0319001000000005001;2012-01-02;22:15:00  ;186;   2.64;   0.00;   2.40
0319001000000005001;2012-01-02;22:30:00  ;187;   2.76;   0.00;   2.76
0319001000000005001;2012-01-02;22:45:00  ;188;   1.68;   0.00;   1.56
0319001000000005001;2012-01-02;23:00:00  ;189;   2.40;   0.00;   2.04
0319001000000005001;2012-01-02;23:15:00  ;190;   3.00;   0.00;   2.52
0319001000000005001;2012-01-02;23:30:00  ;191;   2.40;   0.00;   2.16
0319001000000005001;2012-01-02;23:45:00  ;192;   1.56;   0.00;   1.32
0319001000000005001;2012-01-03;00:00:00  ;193;   1.68;   0.00;   1.32
0319001000000005001;2012-01-03;00:15:00  ;194;   2.40;   0.00;   1.80
0319001000000005001;2012-01-03;00:30:00  ;195;   1.80;   0.00;   1.68
0319001000000005001;2012-01-03;00:45:00  ;196;   1.32;   0.00;   1.08
0319001000000005001;2012-01-03;01:00:00  ;197;   1.20;   0.00;   1.08
0319001000000005001;2012-01-03;01:15:00  ;198;   1.08;   0.00;   0.96
0319001000000005001;2012-01-03;01:30:00  ;199;   1.32;   0.00;   1.08
0319001000000005001;2012-01-03;01:45:00  ;200;   1.08;   0.00;   0.96
0319001000000005001;2012-01-03;02:00:00  ;201;   1.08;   0.00;   0.96
